그룹,videoId,제목,채널,조회수,좋아요,댓글수,영상길이,게시일,썸네일
코스피 6000,gTtMyUzQRE0,"뉴스 앞차기 ep.284-코스피 6000?…이재명 대통령 ‘공약 파기 논란’ - 황희두&기추자, [권순표의 뉴스하이킥], MBC 260225 방송",MBC 라디오 시사,146497,4145,130,PT30M24S,2026-02-25T10:43:35Z,https://i.ytimg.com/vi/gTtMyUzQRE0/mqdefault.jpg
코스피 6000,oA-bbG4w3Pg,"코스피 6,000에서 ‘개미’가 제일 많이 망하는 순간",plainratio,144144,1920,2,PT28S,2026-02-26T00:52:50Z,https://i.ytimg.com/vi/oA-bbG4w3Pg/mqdefault.jpg
코스피 6000,_npjtnx0XOY,코스피 6000 버블장을 넘어선 '환장'을 아시나요? #증시각도기,증시각도기TV,144053,1584,106,PT29S,2026-02-26T01:02:58Z,https://i.ytimg.com/vi/_npjtnx0XOY/mqdefault.jpg
코스피 6000,05LIpnzj1tA,"코스피 6000에 환호하는 한국, 다가오는 이란 전쟁 / 금융투자사는 무슨 돈으로 1000p를 올렸나? - 문서진의 경제포커스 [이것이 뉴스다]",펜앤마이크TV,133266,5682,279,PT32M58S,2026-02-25T11:32:32Z,https://i.ytimg.com/vi/05LIpnzj1tA/mqdefault.jpg
코스피 6000,sahwAVyKQ3s,코스피 6000 시대 개막!? 코리아 디스카운트도 끝났다 #코스피 #주식 #이재명 #대통령 #끝장뉴스,뉴스토마토,126216,4498,102,PT1M22S,2026-02-24T13:02:30Z,https://i.ytimg.com/vi/sahwAVyKQ3s/mqdefault.jpg
코스피 6000,HiJ2cfeMGW4,"코스피 6,000 시대.. 한심한 국힘 근황 #최욱",민주숏폼 어설텍,125985,3045,282,PT52S,2026-02-26T06:32:00Z,https://i.ytimg.com/vi/HiJ2cfeMGW4/mqdefault.jpg
코스피 6000,173hl5icFBc,[엠스피드 ] 코스피 6000 시대에 재 뿌리는 언론사? 260225 MBC,MBC 라디오 시사,109013,3667,156,PT1M43S,2026-02-25T01:30:02Z,https://i.ytimg.com/vi/173hl5icFBc/mqdefault.jpg
코스피 6000,ihcvDdMwF4c,코스피 6000도 코앞 / 이언주 거짓말 하루 만에 들통 / 자멸하는 내란범들 등 + 이성윤 의원,[공식] 새날,100633,10470,289,PT2H23M18S,2026-02-24T09:49:49Z,https://i.ytimg.com/vi/ihcvDdMwF4c/mqdefault.jpg
코스피 6000,O4czGu5_y64,2/26(목) ‘잘하고 있다’와 ‘찰떡공조’(박순봉·김준일) 코스피 6000(윤지호) ‘뉴이재명’ 지지층 균열?(윤태곤) 토론⚖️ 사법개혁 3법(노희범·김정철) [박성태의 뉴스쇼],박성태의 뉴스쇼,97718,1931,22,PT1H54M9S,2026-02-26T00:26:20Z,https://i.ytimg.com/vi/O4czGu5_y64/mqdefault.jpg
코스피 6000,d6W_FSCFzBA,"코스피 6000 안착, 이준석은 인버스?",인물이슈,97317,8001,1130,PT1M15S,2026-02-26T09:00:53Z,https://i.ytimg.com/vi/d6W_FSCFzBA/mqdefault.jpg
코스피 6000,cNlADTafjas,"[대안뉴스] 코스피 6000 시대 개막! 외신은 축하하는데, 한국 언론은 왜 다를까?",대안뉴스,82586,7200,32,PT1H38M47S,2026-02-26T02:38:22Z,https://i.ytimg.com/vi/cNlADTafjas/mqdefault.jpg
코스피 6000,84XJK6v-QAY,(경제한스푼) 코스피 6000 돌파! 삼전 34만 하닉 170만 전망까지 / 자사주 의무소각 국회 통과  / 트럼프 상호관세 무효 앞으로 어떻게 되나? #박시동,시동위키,80813,8271,373,PT1H15M18S,2026-02-25T11:10:42Z,https://i.ytimg.com/vi/84XJK6v-QAY/mqdefault.jpg
코스피 6000,EKjosGRur0Q,"[빠른뉴스 쨉] 신동욱, ""코스피 6000때문에 나라 무너지는 것 국민들이 몰라""",뉴스TVCHOSUN,70133,936,800,PT2M8S,2026-02-26T04:26:54Z,https://i.ytimg.com/vi/EKjosGRur0Q/mqdefault.jpg
코스피 6000,oG1x5VYAycs,"코스피 6,000피 견인!현대차 그룹 동반 급등! 피지컬 AI,로봇 관련주",K-월가,63916,70,0,PT6S,2026-02-25T10:01:20Z,https://i.ytimg.com/vi/oG1x5VYAycs/mqdefault.jpg
코스피 6000,li23uT32H70,코스피 6000 직전 149조 하락 베팅? #국내증시 #주가전망 #경제뉴스,광기의 차트극장,59950,387,27,PT51S,2026-02-24T17:01:48Z,https://i.ytimg.com/vi/li23uT32H70/mqdefault.jpg
코스피 6000,146UMLO58Uo,"[함께소통하기] 2월 25일, 코스피 6000 돌파!",염블리와 함께 [LS증권],56146,2699,93,PT1H24M34S,2026-02-25T02:50:12Z,https://i.ytimg.com/vi/146UMLO58Uo/mqdefault.jpg
